experience_id,contact_id,opportunity_id,status,status_at,notes
c3c698a9-7303-4c2a-9b16-fe3637dd73cd,1d583512-bc1a-458f-9b0b-612ef2fd856d,23372871-aaae-4063-b95b-1926aa2087f7,completed,2025-10-12 16:31:43.978322+00,Seeded outcome.
be02c035-0e68-4ef0-902a-c75d2a859424,1650a05e-9ba3-4804-aca9-3a61040f99ed,b3cf8faa-db21-4636-a48e-82f18c0b841f,interview_rejected,2024-01-31 16:31:44.016179+00,Seeded outcome.
e75e2303-5913-49df-a379-26b4681375f6,38ac10b1-2704-4099-9e1f-0abf83857656,7839ebec-9c1d-4c1a-8838-bae68e6500bf,interview_rejected,2024-10-23 16:31:44.054957+00,Seeded outcome.
f6a6a658-fb01-430d-9311-4a36c53a9b44,20cde00a-1d46-466e-a4b4-a9a3975b7da7,7839ebec-9c1d-4c1a-8838-bae68e6500bf,intern,2025-03-20 16:31:44.092201+00,Seeded outcome.
e87137fb-5692-4562-b093-84154754b14e,9a8e925e-4db9-4a31-8563-a6788d69c4ea,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,dropped,2025-12-04 16:31:44.131206+00,Seeded outcome.
152720b8-8083-4d90-84e7-a17708636d85,617a2c8e-67c4-4d5f-85a3-51101999b54e,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,intern,2025-11-24 16:31:44.169244+00,Seeded outcome.
c1a71839-6208-4497-ab85-1ded2705dd02,7afed10e-91db-495e-9966-68cd6ffd903d,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,intern,2025-01-02 16:31:44.207195+00,Seeded outcome.
8fb22ea3-0c8e-487f-b3a5-71b53053e436,476c9de3-0b16-45d1-b78c-97d69bfe70e7,7839ebec-9c1d-4c1a-8838-bae68e6500bf,completed,2025-05-15 16:31:44.248064+00,Seeded outcome.
51f79704-c777-4e34-b1c4-d24acdcb2e45,5416007b-8959-4af1-8d9b-8c00bdd0b19c,23372871-aaae-4063-b95b-1926aa2087f7,completed,2024-06-20 16:31:44.286416+00,Seeded outcome.
26dc63c9-307e-4e66-86c1-dfc06af2e29d,a9e51f38-52b3-48b4-bb33-537671da2466,ad479a89-4df4-4684-a6a1-e3a4b786bd8a,completed,2025-07-20 16:31:44.325269+00,Seeded outcome.
a8f9fa37-6dae-4e68-bc4e-72fdaf1d0937,c1c40289-9cd9-48d6-bb01-498b9f77e465,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2025-07-30 16:31:44.363099+00,Seeded outcome.
10da7660-fcf3-4f0a-b928-b924b7f15825,fbcec44b-c45d-4d72-ab0f-b67fdd944b04,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2025-07-25 16:31:44.402763+00,Seeded outcome.
13e38e4c-e116-44c9-b0bb-b52847519582,b74589a4-caa2-461f-8bc8-0819ec44c016,acb5f65b-9c43-4916-86ce-77d8e66466b6,intern,2024-12-25 16:31:44.441187+00,Seeded outcome.
3c20c7cf-626b-46d5-8c94-c0869f2fe1f9,64a3f1ee-ec81-4933-b252-c65ba1a70317,d4b76bd4-20cc-4446-acd2-bca545c96fb7,completed,2024-04-26 16:31:44.480881+00,Seeded outcome.
0e05816a-9fbc-4e8c-b964-e64aca0bb596,79a0af8e-8e28-44e9-96db-978c6f230520,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,completed,2024-08-29 16:31:44.522343+00,Seeded outcome.
b53d3b6b-4cfd-4114-8756-d757272fad5c,658f14d4-6c79-4149-958f-c256d76067e3,b3cf8faa-db21-4636-a48e-82f18c0b841f,dropped,2025-08-27 16:31:44.561982+00,Seeded outcome.
fe0d4cdf-244b-45ac-b6f9-9a71ae490cb3,b189bd82-1b7e-4d8b-811b-11c33634e21c,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,intern,2024-04-07 16:31:44.602048+00,Seeded outcome.
930180d8-7e9a-46dc-9eb1-ce011cbc40e4,4e356050-1539-473a-853e-55ee45db3d24,ad479a89-4df4-4684-a6a1-e3a4b786bd8a,intern,2025-05-04 16:31:44.641975+00,Seeded outcome.
1ee25b93-a1a2-4978-bbfd-8e6a677b4b88,64a3f1ee-ec81-4933-b252-c65ba1a70317,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2024-03-09 16:31:44.681403+00,Seeded outcome.
24e42cfa-21b7-4556-9ecc-07288432fccb,61611661-fbff-4fc2-874a-adb4bfc44997,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,intern,2023-10-20 16:31:44.722774+00,Seeded outcome.
b7409972-b922-4d9e-803b-e2c17d3493fe,a77249bc-a28a-4a40-b3bb-4e7a47df8fcf,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2024-10-01 16:31:44.763281+00,Seeded outcome.
033f49ed-5f82-4420-9076-aa04472f16cb,ae35d613-b5ac-463f-9d0d-13fcbaf144bd,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2025-04-01 16:31:44.804851+00,Seeded outcome.
f5e46605-314a-426d-8b72-fea7a68a11e0,67b4a111-a0fe-4ef8-8137-f9e4048c70fe,7839ebec-9c1d-4c1a-8838-bae68e6500bf,completed,2025-08-12 16:31:44.846352+00,Seeded outcome.
8a732695-4e1b-45f2-9905-003cfd0ec95f,e0599837-80f4-4838-a0cc-633f27888bbe,b3cf8faa-db21-4636-a48e-82f18c0b841f,intern,2025-02-01 16:31:44.885605+00,Seeded outcome.
5668b12b-f981-46d5-9392-6fb8652839f2,33349b00-83ce-4490-82f4-3db85eb8a47a,acb5f65b-9c43-4916-86ce-77d8e66466b6,dropped,2025-03-20 16:31:44.924441+00,Seeded outcome.
dbf18d79-ae22-4893-a254-9c031681e188,3e1da5dd-5230-4257-85f4-7056ba1d4e9f,acb5f65b-9c43-4916-86ce-77d8e66466b6,completed,2024-11-12 16:31:44.96516+00,Seeded outcome.
7576d710-4bd2-4031-9edf-868f800be00a,a1ff3d33-50b4-4280-b59e-a1c52e0cad03,23372871-aaae-4063-b95b-1926aa2087f7,completed,2024-10-10 16:31:45.005259+00,Seeded outcome.
b18cf0cd-0404-488c-a072-01cdc028d8f0,a97c1988-923b-429b-a2bc-bfcefb34d404,acb5f65b-9c43-4916-86ce-77d8e66466b6,interview_rejected,2025-07-01 16:31:45.046123+00,Seeded outcome.
636b1be0-6c92-455c-830d-0a5f66193689,ae35d613-b5ac-463f-9d0d-13fcbaf144bd,b3cf8faa-db21-4636-a48e-82f18c0b841f,dropped,2023-08-31 16:31:45.087852+00,Seeded outcome.
feab5060-b491-4008-b004-554cadf52828,a0c4448c-4fb8-4b5c-a871-89352b0257a3,6d1cd5d9-ab5f-45cb-bb82-587a3b1cd2e0,completed,2025-05-23 16:31:45.129459+00,Seeded outcome.
3263c579-996f-41c5-ba4e-5b478ce3f689,f0e488e1-4170-475f-a8d8-ba503ebf7b19,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2024-12-26 16:31:45.168973+00,Seeded outcome.
8a49c208-4077-4f1b-85dc-a957429703e2,f71c4e3d-f941-4684-b69c-80eeb5fa4ecb,d4b76bd4-20cc-4446-acd2-bca545c96fb7,completed,2024-06-14 16:31:45.210836+00,Seeded outcome.
7d646bec-95eb-4e3e-abe9-7cdcee79640d,3e25e23f-451f-44eb-b0a2-66d4f5b0281a,acb5f65b-9c43-4916-86ce-77d8e66466b6,completed,2025-03-24 16:31:45.249896+00,Seeded outcome.
63cb4249-7a88-47b0-80a3-88e3e15c3d5b,b50c2a2e-6ef3-4bd9-87d1-54c9a8566dfe,770be19e-e53b-4c72-b94a-26b897731364,completed,2024-02-04 16:31:45.292362+00,Seeded outcome.
07ad91d8-edaa-49c1-b5b8-a132284e2643,94cc1de0-bf36-4204-b1c7-40567056957e,23372871-aaae-4063-b95b-1926aa2087f7,intern,2023-09-24 16:31:45.333616+00,Seeded outcome.
d2fb25c9-75a7-4072-8eaa-f21713e38a6a,2426d72e-0ab1-4109-aa09-ba7beb54cc67,7839ebec-9c1d-4c1a-8838-bae68e6500bf,completed,2025-04-14 16:31:45.376868+00,Seeded outcome.
b62c9257-6fdd-4943-88f8-94fe024c2130,2426d72e-0ab1-4109-aa09-ba7beb54cc67,ad479a89-4df4-4684-a6a1-e3a4b786bd8a,intern,2023-08-19 16:31:45.419408+00,Seeded outcome.
e481cfc4-d191-480c-a112-e3279429c036,68b7848c-b738-4c9d-a31f-2a5354bef834,23372871-aaae-4063-b95b-1926aa2087f7,completed,2023-12-20 16:31:45.463624+00,Seeded outcome.
d4e074cc-a7b8-403c-aa37-c66c15f69b9b,fbcec44b-c45d-4d72-ab0f-b67fdd944b04,7839ebec-9c1d-4c1a-8838-bae68e6500bf,dropped,2024-05-10 16:31:45.504429+00,Seeded outcome.
d2739489-1870-469c-818c-3a9acb902dac,94cc1de0-bf36-4204-b1c7-40567056957e,770be19e-e53b-4c72-b94a-26b897731364,completed,2023-12-19 16:31:45.547531+00,Seeded outcome.
b8b4e202-304c-431f-b6e8-640fd228027c,f924a9ab-37f1-4a3d-99f3-c7dedc1a710d,b3cf8faa-db21-4636-a48e-82f18c0b841f,completed,2025-04-02 16:31:45.588587+00,Seeded outcome.
a276d50d-5c35-46c5-a5e2-9debe35edcea,9a8e925e-4db9-4a31-8563-a6788d69c4ea,acb5f65b-9c43-4916-86ce-77d8e66466b6,interview_rejected,2025-05-30 16:31:45.632409+00,Seeded outcome.
db2a49f2-025d-4af9-a9f2-906b5454108f,5aaee664-bf91-41f0-a9c7-068ef350f846,acb5f65b-9c43-4916-86ce-77d8e66466b6,completed,2025-01-25 16:31:45.673543+00,Seeded outcome.
5a721929-f64a-4bb7-a540-5b2bba32f164,2e8be0eb-0b90-412d-85c9-bcab7a4e5150,23372871-aaae-4063-b95b-1926aa2087f7,intern,2025-07-10 16:31:45.718463+00,Seeded outcome.
f1c5a969-1975-477b-b5e4-dcaf8c62bf2a,617a2c8e-67c4-4d5f-85a3-51101999b54e,ad479a89-4df4-4684-a6a1-e3a4b786bd8a,completed,2024-02-26 16:31:45.759486+00,Seeded outcome.
89afd45a-21fc-41a6-98e7-045164f40000,8d7da196-6de4-49e8-89ed-54ca1d146ae4,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2023-12-09 16:31:45.802207+00,Seeded outcome.
24612dbb-742d-4b5d-a2d6-0207bc365417,83d92628-0f6e-4d03-8397-01be62f5e8a9,7a507653-811d-4658-a0ee-dc84bc774dbe,completed,2024-01-13 16:31:45.843848+00,Seeded outcome.
ef5e0ad8-5b2e-4ce4-bf8d-1af2fc49ac94,8187d5bd-1e02-431f-ada9-896d9063ec01,d4b76bd4-20cc-4446-acd2-bca545c96fb7,completed,2023-11-27 16:31:45.886422+00,Seeded outcome.
573f9a27-14ff-4a5f-bbf9-e6ab35c969c6,f0e488e1-4170-475f-a8d8-ba503ebf7b19,770be19e-e53b-4c72-b94a-26b897731364,completed,2024-03-16 16:31:45.929334+00,Seeded outcome.
ed5f4bab-2549-486d-9a46-8a4f2e821ef6,2e8be0eb-0b90-412d-85c9-bcab7a4e5150,b3cf8faa-db21-4636-a48e-82f18c0b841f,completed,2025-09-02 16:31:45.970594+00,Seeded outcome.
5dca07bf-de3c-44b4-860c-22aa76ad4d34,a9e51f38-52b3-48b4-bb33-537671da2466,770be19e-e53b-4c72-b94a-26b897731364,completed,2024-04-17 16:31:46.013892+00,Seeded outcome.
