work_experience_id,contact_id,company_account_id,company_name_raw,title,start_date,end_date,is_current,location_city,location_state,description,source_system,source_profile_url,source_payload,created_at
02d7457c-12f8-4800-87e1-397b9900f4ee,7835f08c-980d-4c18-a2a5-53e7fde165a5,5503f9eb-d6af-401b-8d8a-0f67d104cd47,Hines (Houston),Development Analyst,2026-06-01,,True,New York,NY,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
58ce48fb-3399-4b57-9ac2-ad0820769c21,5cfd4086-1977-404a-aefe-75495f15589d,5503f9eb-d6af-401b-8d8a-0f67d104cd47,Hines (Houston),Development Analyst,2026-06-01,,True,Boston,MA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
914f4d47-53d5-4430-b551-346de4789af5,86afe0ac-c13f-4217-8232-effd6330a02d,5503f9eb-d6af-401b-8d8a-0f67d104cd47,Hines (Houston),Analyst,2026-06-01,,True,Boston,CA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
97ec9af1-0baa-41d1-b4e1-4a710be2093d,ce9077bb-a47a-45e2-a87f-429fefd7d447,a312dc72-9973-4e1e-b583-2002199b55ba,Greystar,Development Analyst,2026-06-01,,True,Los Angeles,NY,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
12f0a5cd-d72e-46dd-a967-c74e3aebed32,8096e07b-e14d-4345-be0b-61e44beb2fd8,fe38f816-7f48-4622-a154-d40b9980ec0e,BXP,Development Analyst,2026-06-01,,True,Boston,CA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
e6c484be-f64e-4d2c-9b44-c1cacd3a7d94,b7f83ff7-fb4d-4010-8bb5-e9c86549ddf5,a312dc72-9973-4e1e-b583-2002199b55ba,Greystar,Real Estate Analyst,2026-06-01,,True,Boston,MA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
54b85932-dff1-4847-a952-bb1f941aeb57,1debc8f9-b6c2-4f40-be96-24874fbe0f9b,a312dc72-9973-4e1e-b583-2002199b55ba,Greystar,Development Analyst,2026-06-01,,True,New York,CA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
681cb685-0cd3-4908-946a-e16fe629a775,85e3f9a7-1e18-4b2d-a77c-b7d66382e41e,5503f9eb-d6af-401b-8d8a-0f67d104cd47,Hines Real Estate,Development Analyst,2026-06-01,,True,Los Angeles,MA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
d64db4ef-af54-4f96-a79f-8656f884b998,cf1d471e-edf2-4b16-ac22-e111f7fe0d4d,fe38f816-7f48-4622-a154-d40b9980ec0e,Boston Props,Development Analyst,2026-06-01,,True,Los Angeles,CA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
63f485e4-08f4-4004-b4fe-22659917fedf,a29062d2-6a84-4a9f-b6a6-2e6759dca414,069c6d31-9082-4a9e-b3e0-a47a4c1ed569,The Related Companies,Development Analyst,2026-06-01,,True,New York,MA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
c65cbf38-7e14-4684-a97e-bbd0ad31ef85,aac67d26-e5a7-4af7-8848-c5638a35a3e2,a312dc72-9973-4e1e-b583-2002199b55ba,Greystar,Analyst,2026-06-01,,True,New York,MA,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
5ae3c7c5-e2de-4238-8abb-aa8c5cdfcfe7,98580e06-2e36-4877-a2d6-a8d171fe3a6c,069c6d31-9082-4a9e-b3e0-a47a4c1ed569,Related Companies,Real Estate Analyst,2026-06-01,,True,Boston,NY,Post-program placement into Real Estate Development (seed).,clay,,,2026-01-30 18:17:47.115479
