account_id,account_type,name_canonical,website,linkedin_url,industry_primary,created_at
e82069dd-1178-4da1-b077-318efbda57ae,academic_institution,Hofstra University,https://hofstrauniversity.edu,,Education,2026-01-30 17:53:24.719203
d36b0492-89a1-450e-8cad-1766ac11d180,academic_institution,Boston University,https://bostonuniversity.edu,,Education,2026-01-30 17:53:24.719203
20b21f8a-4263-4daa-8a70-27382a99955a,academic_institution,Rutgers University,https://rutgersuniversity.edu,,Education,2026-01-30 17:53:24.719203
7ad28c87-624b-44f8-9b06-9d2bfa38fb17,academic_institution,New York University,https://newyorkuniversity.edu,,Education,2026-01-30 17:53:24.719203
5cd010b6-ae7b-4541-8845-4bd2f0b256c6,academic_institution,Temple University,https://templeuniversity.edu,,Education,2026-01-30 17:53:24.719203
66ec89e7-4eef-471f-ab4e-16e548bf1c84,academic_institution,Drexel University,https://drexeluniversity.edu,,Education,2026-01-30 17:53:24.719203
9d0e951a-e86e-40bd-9486-178b4acf0938,academic_institution,The Pennsylvania State University,https://thepennsylvaniastateuniversity.edu,,Education,2026-01-30 17:53:24.719203
a1d3b662-d918-448e-9c20-6a1fb8ce55e9,academic_institution,"University of California, Los Angeles",https://universityofcalifornialosangeles.edu,,Education,2026-01-30 17:53:24.719203
8ba3d294-5209-4d6e-8b0f-e3094a0fc9df,academic_institution,University of Southern California,https://universityofsoutherncalifornia.edu,,Education,2026-01-30 17:53:24.719203
f4a253b4-ad9c-41d3-af2d-b601b0c4fb32,academic_institution,Port Henry University,https://porthenryuniversity.edu,,Education,2026-01-30 17:53:24.719203
02b6f26b-a9e0-475c-9698-15a27c164c45,academic_institution,Perezchester University,https://perezchesteruniversity.edu,,Education,2026-01-30 17:53:24.719203
496b32dd-142c-4091-92de-c002f37b9ffe,academic_institution,Ericchester College,https://ericchestercollege.edu,,Education,2026-01-30 17:53:24.719203
42981604-5e90-4f91-aa9a-5b4284263a75,academic_institution,Nelsonmouth University,https://nelsonmouthuniversity.edu,,Education,2026-01-30 17:53:24.719203
dc80b6ce-3cc5-485c-832c-53349a04da82,academic_institution,South Jason University,https://southjasonuniversity.edu,,Education,2026-01-30 17:53:24.719203
651569fd-95fa-4417-82c2-379599d0e5b5,academic_institution,Christopherland University,https://christopherlanduniversity.edu,,Education,2026-01-30 17:53:24.719203
4becfa0f-4895-4a91-a391-6bc6ab7e44d8,academic_institution,Scottfurt University,https://scottfurtuniversity.edu,,Education,2026-01-30 17:53:24.719203
a2464423-d12a-420f-bc71-a952f131c9c6,academic_institution,West Davidhaven University,https://westdavidhavenuniversity.edu,,Education,2026-01-30 17:53:24.719203
7014a350-d957-43ae-8c01-1c8e38c436a6,academic_institution,Gonzalezstad College,https://gonzalezstadcollege.edu,,Education,2026-01-30 17:53:24.719203
0ba5cf16-9c1c-4529-997e-991dd3423d00,academic_institution,Phillipsside University,https://phillipssideuniversity.edu,,Education,2026-01-30 17:53:24.719203
5904cfb1-aa5e-44a8-b300-7637f86a4a16,academic_institution,South Kurtchester University,https://southkurtchesteruniversity.edu,,Education,2026-01-30 17:53:24.719203
580b7905-2de7-44d8-ad70-7f7ca9484cdb,academic_institution,Carlabury University,https://carlaburyuniversity.edu,,Education,2026-01-30 17:53:24.719203
a2723c6b-0b0a-4c14-bd89-8453556f0360,academic_institution,Bryanport University,https://bryanportuniversity.edu,,Education,2026-01-30 17:53:24.719203
717d4fd3-13f9-4332-8f0d-1f9bd3440cd1,academic_institution,Ryanfort University,https://ryanfortuniversity.edu,,Education,2026-01-30 17:53:24.719203
963bfd15-cf42-409c-9dfd-e07b6dcf7f65,academic_institution,Lake Walterfort University,https://lakewalterfortuniversity.edu,,Education,2026-01-30 17:53:24.719203
a9d4ed9a-49bb-471f-b642-a45c7257fb2c,academic_institution,South Elizabethhaven University,https://southelizabethhavenuniversity.edu,,Education,2026-01-30 17:53:24.719203
7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,company,CBRE,https://cbre.com,,Commercial Real Estate,2026-01-30 17:53:24.719203
55ffd272-e2a3-4778-abcf-a26764ad3988,company,JLL,https://jll.com,,Commercial Real Estate,2026-01-30 17:53:24.719203
a80a12cb-ec88-4436-96af-5dc1c69f2223,company,Related Companies,https://relatedcompanies.com,,Real Estate Development,2026-01-30 17:53:24.719203
cc4134d2-ee8f-4deb-9020-be0458256f7d,company,Hines,https://hines.com,,Real Estate Development,2026-01-30 17:53:24.719203
6bf701e4-6d6c-499b-b589-b298f3bb600b,company,Boston Properties,https://bostonproperties.com,,Real Estate Development,2026-01-30 17:53:24.719203
97c8399b-4aaa-4239-a55e-75f7d010a9e9,company,Greystar,https://greystar.com,,Real Estate Development,2026-01-30 17:53:24.719203
d8deea59-a81a-4ab3-a8e4-c0246d1082c4,company,Deloitte,https://deloitte.com,,Consulting,2026-01-30 17:53:24.719203
62faec6a-ee7a-4766-a35e-7bdf04448bc0,company,Goldman Sachs,https://goldmansachs.com,,Finance,2026-01-30 17:53:24.719203
bfbbc659-3069-4fea-81b0-958e330d3902,company,Blackstone,https://blackstone.com,,Investment Management,2026-01-30 17:53:24.719203
